X,Y,Z
-3.16,0.45,9.45
-3.22,0.39,9.32
-3.27,0.34,9.38
-3.25,0.28,9.4
-3.2,0.28,9.41
-3.2,0.3,9.41
-3.27,0.27,9.39
-3.25,0.3,9.34
-3.31,0.34,9.27
-3.42,0.33,9.4
-3.34,0.38,9.35
-3.24,0.29,9.3
-3.11,0.23,9.34
-3.06,0.26,9.26
-3.07,0.32,9.16
-3.13,0.28,9.22
-3.28,0.28,9.38
-3.44,0.32,9.39
-3.53,0.21,9.09
-3.66,0.2,9.21
-3.35,0.4,9.41
-3.18,0.6,9.37
-3.09,0.56,9.45
-3.27,0.26,9.34
-3.39,0.24,9.15
-3.42,0.31,9.19
-3.41,0.42,9.21
-3.4,0.44,9.21
-3.41,0.36,9.24
-3.47,0.43,9.29
-3.48,0.45,9.22
-3.5,0.34,9.17
-3.64,0.3,8.99
-3.71,0.33,9.17
-3.65,0.46,9.24
-3.73,0.52,9.33
-3.73,0.49,9.09
-3.76,0.52,9.12
-3.79,0.46,9.13
-3.76,0.47,9.12
-3.81,0.44,9.28
-3.9,0.4,9.53
-3.76,0.48,9.19
-3.7,0.43,9.12
-3.73,0.45,9.22
-3.73,0.45,9.11
-3.79,0.46,9.21
-3.79,0.42,9.22
-3.78,0.26,9.21
-3.75,0.22,9.12
-3.76,0.33,8.99
-3.76,0.48,9.02
-3.76,0.49,9.14
-3.84,0.57,9.24
-3.78,0.54,9.15
-3.76,0.38,9.01
-3.78,0.42,8.97
-3.81,0.53,8.96
-3.82,0.68,9.12
-3.89,0.7,9.33
-3.9,0.64,9.24
-4.08,0.54,9.17
-4.14,0.37,9.1
-4.08,0.36,8.97
-4.03,0.5,9.09
-3.99,0.55,9.03
-4.0,0.56,9.19
-3.97,0.51,9.0
-3.98,0.43,8.95
-4.03,0.44,9.13
-4.1,0.53,9.1
-4.14,0.57,8.99
-4.21,0.46,9.07
-4.09,0.43,9.32
-3.93,0.51,9.25
-3.82,0.41,9.17
-3.84,0.45,9.09
-4.03,0.6,8.97
-4.14,0.69,8.97
-4.13,0.54,9.26
-4.08,0.35,9.27
-4.1,0.25,8.95
-4.19,0.42,8.85
-4.12,0.84,8.88
-4.05,1.03,8.99
-3.95,0.79,8.95
-4.06,0.46,8.88
-4.06,0.54,8.88
-4.16,0.62,9.04
-4.34,0.71,9.13
-4.38,0.72,8.99
-4.2,0.37,9.06
-3.89,0.26,9.06
-3.74,0.57,9.25
-3.65,0.81,9.04
-3.79,0.7,9.06
-3.79,0.71,9.0
-4.15,0.66,9.02
-4.21,0.57,9.03
-4.21,0.47,9.15
