X,Y,Z
-1.21,-0.57,9.87
-1.28,-0.5,9.89
-1.35,-0.47,9.98
-1.35,-0.48,9.97
-1.29,-0.48,9.74
-1.36,-0.51,9.89
-1.28,-0.52,10.11
-1.26,-0.45,9.72
-1.29,-0.57,9.81
-1.37,-0.57,9.91
-1.38,-0.57,9.97
-1.3,-0.57,9.87
-1.26,-0.49,9.9
-1.27,-0.42,9.9
-1.27,-0.45,9.98
-1.25,-0.48,9.93
-1.25,-0.55,9.87
-1.35,-0.53,10.0
-1.25,-0.51,9.9
-1.22,-0.55,9.88
-1.29,-0.54,9.88
-1.36,-0.49,9.81
-1.46,-0.55,9.9
-1.42,-0.52,9.92
-1.41,-0.53,9.91
-1.34,-0.5,9.89
-1.29,-0.52,9.93
-1.29,-0.47,9.94
-1.35,-0.51,9.84
-1.31,-0.56,9.9
-1.25,-0.5,9.81
-1.24,-0.51,10.0
-1.25,-0.56,9.78
-1.3,-0.52,9.73
-1.41,-0.5,9.98
-1.37,-0.43,10.03
-1.48,-0.54,9.87
-1.29,-0.54,9.93
-1.26,-0.51,9.92
-1.25,-0.54,9.94
-1.26,-0.57,9.88
-1.26,-0.53,9.9
-1.39,-0.53,9.94
-1.36,-0.53,9.97
-1.32,-0.52,9.9
-1.3,-0.56,9.85
-1.3,-0.53,9.89
-1.3,-0.53,9.92
-1.37,-0.48,9.9
-1.4,-0.5,9.88
-1.42,-0.55,9.91
-1.34,-0.51,9.96
-1.25,-0.47,9.91
-1.22,-0.48,9.8
-1.22,-0.5,9.87
-1.22,-0.48,9.92
-1.28,-0.5,9.93
-1.33,-0.52,9.91
-1.37,-0.49,9.86
-1.36,-0.51,9.9
-1.42,-0.52,9.88
-1.34,-0.51,9.9
-1.31,-0.57,9.93
-1.3,-0.57,9.89
-1.25,-0.51,9.91
-1.26,-0.5,9.9
-1.28,-0.5,9.86
-1.31,-0.5,9.87
-1.32,-0.53,9.88
-1.34,-0.54,9.9
-1.32,-0.53,9.87
-1.26,-0.52,9.87
-1.29,-0.52,9.88
-1.28,-0.52,9.9
-1.25,-0.54,9.9
-1.35,-0.53,9.87
-1.33,-0.53,9.89
-1.33,-0.53,9.86
-1.31,-0.48,9.85
-1.33,-0.46,9.84
-1.33,-0.53,9.84
-1.29,-0.54,9.93
-1.25,-0.52,9.9
-1.3,-0.57,9.83
-1.31,-0.51,9.88
-1.36,-0.47,9.9
-1.36,-0.52,9.97
-1.4,-0.48,9.66
-1.36,-0.57,10.11
-1.25,-0.57,10.12
-1.2,-0.45,9.81
-1.28,-0.59,9.87
-1.32,-0.56,9.97
-1.32,-0.57,9.99
-1.32,-0.54,9.9
-1.38,-0.48,9.77
-1.35,-0.53,9.85
-1.38,-0.54,9.89
-1.26,-0.55,9.94
-1.23,-0.52,9.91
-1.21,-0.47,9.93
-1.19,-0.53,9.95
-1.19,-0.51,9.82
-1.34,-0.57,9.85
-1.41,-0.51,9.85
-1.46,-0.57,9.9
-1.48,-0.5,9.9
-1.35,-0.48,9.95
-1.32,-0.47,9.91
-1.25,-0.52,9.94
-1.25,-0.52,9.9
