t,Tilt up/down (deg),Tilt left/right (deg)
1.252529280E-1,-7.597283797E0,1.224726291E0
6.252529280E-1,-7.175875289E0,1.393347022E0
1.125252928E0,-6.736935536E0,1.543651115E0
1.625252928E0,-6.935189603E0,1.552141586E0
2.125252928E0,-6.545023327E0,1.873318351E0
2.625252928E0,-6.709938237E0,1.710454851E0
3.125252928E0,-6.666271123E0,1.692650481E0
3.625252928E0,-6.878438302E0,1.527074454E0
4.125252928E0,-6.823615319E0,1.449849804E0
4.625252928E0,-6.866489273E0,1.440695569E0
5.125252928E0,-7.517049210E0,1.497163661E0
5.625252928E0,-7.434741676E0,1.950615656E0
6.125252928E0,-6.878327735E0,2.168892889E0
6.625252928E0,-6.724499293E0,1.998204625E0
7.125252928E0,-6.731484615E0,1.951070911E0
7.625252928E0,-6.646770220E0,1.951490346E0
8.125252928E0,-6.564047924E0,1.859174086E0
8.625252928E0,-6.487628222E0,1.963069239E0
9.125252928E0,-6.906136071E0,1.748781190E0
9.625252928E0,-7.539738216E0,1.696700971E0
1.012525293E1,-7.560823021E0,1.688621136E0
1.062525293E1,-7.548319673E0,1.704518111E0
1.112525293E1,-7.193801314E0,1.644684589E0
1.162525293E1,-6.962877273E0,1.627537329E0
1.212525293E1,-6.823124687E0,1.476020069E0
1.262525293E1,-6.912196938E0,1.584771661E0
1.312525293E1,-7.405569524E0,1.478614815E0
1.362525293E1,-7.812223659E0,1.458340485E0
1.412525293E1,-7.614542739E0,1.423561172E0
1.462525293E1,-7.293736708E0,1.544068743E0
1.512525293E1,-7.007610669E0,1.638720390E0
1.562525293E1,-6.972247286E0,1.486997539E0
1.612525293E1,-6.978594403E0,1.343299758E0
1.662525293E1,-7.293981728E0,1.513937841E0
1.712525293E1,-8.150346340E0,1.417758304E0
1.762525293E1,-8.915315941E0,1.258968264E0
1.812525293E1,-8.583485604E0,1.195220039E0
1.862525293E1,-8.048020205E0,1.165191512E0
1.912525293E1,-7.604239317E0,1.301158438E0
1.962525293E1,-7.508965884E0,1.301587528E0
2.062525293E1,-7.612484457E0,1.361683853E0
2.112525293E1,-8.396011054E0,1.513488823E0
2.162525293E1,-9.258805975E0,1.331575588E0
2.162525293E1,-9.258805975E0,1.331575588E0
2.212525293E1,-9.764487420E0,1.126601325E0
2.262525293E1,-8.885592744E0,1.039369404E0
2.312525293E1,-8.131083292E0,1.135361332E0
2.362525293E1,-7.667813975E0,1.106293154E0
2.412525293E1,-7.586147986E0,1.046499987E0
2.462525293E1,-7.770050216E0,1.120965479E0
2.512525293E1,-8.249214152E0,1.182199464E0
2.562525293E1,-9.320384682E0,1.004475881E0
2.612525293E1,-9.293532104E0,1.052876621E0
2.662525293E1,-8.798940596E0,1.027959675E0
2.762525293E1,-7.839736244E0,1.225844151E0
2.812525293E1,-7.769333875E0,1.136048847E0
2.862525293E1,-7.781760744E0,1.034390371E0
2.912525293E1,-7.883456506E0,1.141422389E0
2.962525293E1,-8.369193278E0,1.262792073E0
3.012525293E1,-8.931471460E0,1.200966165E0
3.062525293E1,-9.278372258E0,1.175463343E0
3.112525293E1,-8.998808974E0,1.034453791E0
3.162525293E1,-8.322423739E0,1.151719873E0
3.212525293E1,-7.972347899E0,1.082061820E0
3.262525293E1,-7.881340046E0,1.066187268E0
3.312525293E1,-7.889388226E0,1.015556778E0
3.362525293E1,-8.017999473E0,1.208485851E0
3.412525293E1,-8.425151388E0,1.104025594E0
3.462525293E1,-8.949633484E0,1.117610543E0
3.512525293E1,-9.022138940E0,1.084991016E0
3.562525293E1,-8.679342355E0,1.098116530E0
3.612525293E1,-8.064956114E0,1.144950965E0
3.662525293E1,-7.796959734E0,1.179205430E0
3.712525293E1,-7.633574958E0,1.098123532E0
3.762525293E1,-7.597895126E0,1.069720425E0
3.812525293E1,-7.785368210E0,1.188695323E0
3.862525293E1,-8.380881315E0,1.233863575E0
3.912525293E1,-9.342049942E0,1.128483852E0
3.962525293E1,-1.008320726E1,1.145256001E0
4.012525293E1,-9.648998399E0,1.078564133E0
4.062525293E1,-8.733244360E0,1.148449092E0
4.112525293E1,-8.190339058E0,1.146917859E0
4.162525293E1,-7.987459269E0,1.080012852E0
4.212525293E1,-7.853159231E0,1.012093673E0
4.262525293E1,-8.083735397E0,1.092749262E0
4.312525293E1,-8.714099803E0,1.174500145E0
4.362525293E1,-9.858346380E0,1.090403163E0
4.412525293E1,-1.008908265E1,1.085552176E0
4.462525293E1,-9.091193675E0,1.118914528E0
4.512525293E1,-8.401132778E0,1.092094149E0
4.562525293E1,-8.077479347E0,1.056331714E0
4.612525293E1,-7.901767204E0,9.726874399E-1
4.662525293E1,-7.939936416E0,1.050770042E0
4.712525293E1,-8.291347649E0,1.145405560E0
4.762525293E1,-9.143880723E0,1.053468513E0
4.812525293E1,-9.852636825E0,1.003563639E0
4.862525293E1,-9.637912553E0,1.016009567E0
4.912525293E1,-8.754592140E0,1.107340246E0
4.962525293E1,-8.311228504E0,1.051254598E0
5.012525293E1,-8.257078154E0,1.032696349E0
5.062525293E1,-8.203735157E0,1.063516350E0
5.112525293E1,-8.060422541E0,9.913035768E-1
5.162525293E1,-8.138927286E0,8.719452773E-1
5.212525293E1,-8.221207087E0,8.760857265E-1
5.262525293E1,-7.802094187E0,9.853949918E-1
