"t (s)","Inclination (deg)","Rotation (deg)"
1.252529280E-1,7.693101952E0,1.708938393E2
6.252529280E-1,7.307141497E0,1.690655764E2
1.125252928E0,6.908367493E0,1.671489931E2
1.625252928E0,7.103469899E0,1.674414470E2
2.125252928E0,6.803382203E0,1.640884307E2
2.625252928E0,6.920679381E0,1.657578061E2
3.125252928E0,6.874073227E0,1.658107417E2
3.625252928E0,7.042754019E0,1.675382898E2
4.125252928E0,6.973114177E0,1.680571116E2
4.625252928E0,7.013188884E0,1.682031212E2
5.125252928E0,7.661365918E0,1.687964298E2
5.625252928E0,7.680859503E0,1.653725804E2
6.125252928E0,7.205954797E0,1.625699841E2
6.625252928E0,7.009915081E0,1.635161312E2
7.125252928E0,7.003571137E0,1.639008366E2
7.625252928E0,6.922428327E0,1.637013647E2
8.125252928E0,6.817857224E0,1.642465228E2
8.625252928E0,6.773295142E0,1.632266546E2
9.125252928E0,7.119982386E0,1.658520704E2
9.625252928E0,7.724024833E0,1.673851063E2
1.012525293E1,7.742858805E0,1.674776099E2
1.062525293E1,7.734071793E0,1.673429291E2
1.112525293E1,7.375592360E0,1.671841639E2
1.162525293E1,7.146941252E0,1.669028036E2
1.212525293E1,6.978020146E0,1.678469437E2
1.262525293E1,7.088130225E0,1.671443201E2
1.312525293E1,7.548540904E0,1.687675735E2
1.362525293E1,7.943888539E0,1.694879828E2
1.412525293E1,7.743415502E0,1.694695263E2
1.462525293E1,7.451956050E0,1.681070738E2
1.512525293E1,7.192972833E0,1.668979536E2
1.562525293E1,7.126013030E0,1.680158376E2
1.612525293E1,7.104210449E0,1.691551891E2
1.662525293E1,7.446143531E0,1.683332204E2
1.712525293E1,8.269491910E0,1.701954898E2
1.762525293E1,9.000960996E0,1.720250449E2
1.812525293E1,8.663861620E0,1.721302573E2
1.862525293E1,8.129755858E0,1.718143650E2
1.912525293E1,7.712201632E0,1.703445476E2
1.962525293E1,7.618413998E0,1.702198126E2
2.062525293E1,7.730513802E0,1.699151241E2
2.112525293E1,8.527529830E0,1.698508482E2
2.162525293E1,9.350809402E0,1.718849636E2
2.162525293E1,9.350809402E0,1.718849636E2
2.212525293E1,9.826799509E0,1.734809188E2
2.262525293E1,8.944261338E0,1.733806672E2
2.312525293E1,8.207879641E0,1.721027948E2
2.362525293E1,7.745339653E0,1.718375676E2
2.412525293E1,7.656332353E0,1.721902124E2
2.462525293E1,7.848548269E0,1.718394030E2
2.512525293E1,8.331200088E0,1.718989848E2
2.562525293E1,9.372481052E0,1.739021862E2
2.612525293E1,9.350930355E0,1.735920388E2
2.662525293E1,8.856930077E0,1.733877715E2
2.762525293E1,7.932653573E0,1.711663504E2
2.812525293E1,7.849955442E0,1.717303157E2
2.862525293E1,7.848546716E0,1.724736158E2
2.912525293E1,7.963614176E0,1.718118415E2
2.962525293E1,8.461273580E0,1.714784597E2
3.012525293E1,9.009291158E0,1.724019890E2
3.062525293E1,9.349984610E0,1.728413189E2
3.112525293E1,9.056151775E0,1.734952187E2
3.162525293E1,8.399539639E0,1.721747793E2
3.212525293E1,8.043584417E0,1.723191018E2
3.262525293E1,7.951343492E0,1.723430009E2
3.312525293E1,7.952859305E0,1.727101317E2
3.362525293E1,8.106231388E0,1.714827582E2
3.412525293E1,8.495132704E0,1.725869170E2
3.462525293E1,9.016919827E0,1.729383885E2
3.512525293E1,9.085028770E0,1.731980451E2
3.562525293E1,8.746448563E0,1.728430082E2
3.612525293E1,8.143717522E0,1.719716132E2
3.662525293E1,7.883469133E0,1.714509885E2
3.712525293E1,7.710321066E0,1.718607666E2
3.762525293E1,7.671095992E0,1.720314177E2
3.812525293E1,7.873403705E0,1.713704043E2
3.862525293E1,8.468684416E0,1.716825822E2
3.912525293E1,9.407593587E0,1.731719526E2
3.962525293E1,1.014540947E1,1.735857107E2
4.012525293E1,9.706857767E0,1.736811379E2
4.062525293E1,8.806139870E0,1.725648821E2
4.112525293E1,8.268107046E0,1.720811693E2
4.162525293E1,8.058287408E0,1.723479955E2
4.212525293E1,7.916503095E0,1.727011515E2
4.262525293E1,8.155335388E0,1.723511197E2
4.312525293E1,8.790501863E0,1.723813677E2
4.362525293E1,9.916134069E0,1.737494987E2
4.412525293E1,1.014495079E1,1.739211929E2
4.462525293E1,9.157524842E0,1.730410345E2
4.512525293E1,8.469821239E0,1.726451347E2
4.562525293E1,8.144459911E0,1.725974766E2
4.612525293E1,7.959916803E0,1.730257837E2
4.662525293E1,8.007415480E0,1.725082301E2
4.712525293E1,8.367923493E0,1.721879461E2
4.762525293E1,9.202343746E0,1.734825957E2
4.812525293E1,9.901638909E0,1.742405279E2
4.862525293E1,9.689335562E0,1.740380536E2
4.912525293E1,8.822207815E0,1.728458459E2
4.962525293E1,8.375617513E0,1.728404751E2
5.012525293E1,8.319649579E0,1.729193052E2
5.062525293E1,8.270533842E0,1.726626419E2
5.112525293E1,8.119569803E0,1.730339089E2
5.162525293E1,8.184263649E0,1.739254827E2
5.212525293E1,8.266493426E0,1.739583057E2
5.262525293E1,7.862562414E0,1.728451117E2
