"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.252529280E-1,-8.089383932E1,8.877527370E1
6.252529280E-1,-7.906557639E1,8.860665297E1
1.125252928E0,-7.714899308E1,8.845634888E1
1.625252928E0,-7.744144705E1,8.844785841E1
2.125252928E0,-7.408843067E1,8.812668164E1
2.625252928E0,-7.575780611E1,8.828954514E1
3.125252928E0,-7.581074175E1,8.830734951E1
3.625252928E0,-7.753828976E1,8.847292554E1
4.125252928E0,-7.805711159E1,8.855015019E1
4.625252928E0,-7.820312119E1,8.855930443E1
5.125252928E0,-7.879642983E1,8.850283633E1
5.625252928E0,-7.537258041E1,8.804938434E1
6.125252928E0,-7.256998410E1,8.783110711E1
6.625252928E0,-7.351613123E1,8.800179537E1
7.125252928E0,-7.390083662E1,8.804892908E1
7.625252928E0,-7.370136474E1,8.804850965E1
8.125252928E0,-7.424652282E1,8.814082591E1
8.625252928E0,-7.322665460E1,8.803693076E1
9.125252928E0,-7.585207039E1,8.825121881E1
9.625252928E0,-7.738510635E1,8.830329902E1
1.012525293E1,-7.747760987E1,8.831137886E1
1.062525293E1,-7.734292913E1,8.829548188E1
1.112525293E1,-7.718416395E1,8.835531541E1
1.162525293E1,-7.690280358E1,8.837246267E1
1.212525293E1,-7.784694372E1,8.852397993E1
1.262525293E1,-7.714432012E1,8.841522833E1
1.312525293E1,-7.876757351E1,8.852138518E1
1.362525293E1,-7.948798280E1,8.854165951E1
1.412525293E1,-7.946952626E1,8.857643882E1
1.462525293E1,-7.810707380E1,8.845593125E1
1.512525293E1,-7.689795362E1,8.836127960E1
1.562525293E1,-7.801583760E1,8.851300246E1
1.612525293E1,-7.915518915E1,8.865670024E1
1.662525293E1,-7.833322037E1,8.848606215E1
1.712525293E1,-8.019548978E1,8.858224169E1
1.762525293E1,-8.202504489E1,8.874103173E1
1.812525293E1,-8.213025726E1,8.880477996E1
1.862525293E1,-8.181436497E1,8.883480848E1
1.912525293E1,-8.034454758E1,8.869884156E1
1.962525293E1,-8.021981265E1,8.869841247E1
2.062525293E1,-7.991512406E1,8.863831614E1
2.112525293E1,-7.985084821E1,8.848651117E1
2.162525293E1,-8.188496361E1,8.866842441E1
2.162525293E1,-8.188496361E1,8.866842441E1
2.212525293E1,-8.348091877E1,8.887339867E1
2.262525293E1,-8.338066716E1,8.896063059E1
2.312525293E1,-8.210279480E1,8.886463866E1
2.362525293E1,-8.183756765E1,8.889370684E1
2.412525293E1,-8.219021239E1,8.895350001E1
2.462525293E1,-8.183940299E1,8.887903452E1
2.512525293E1,-8.189898482E1,8.881780053E1
2.562525293E1,-8.390218623E1,8.899552411E1
2.612525293E1,-8.359203883E1,8.894712337E1
2.662525293E1,-8.338777150E1,8.897204032E1
2.762525293E1,-8.116635040E1,8.877415584E1
2.812525293E1,-8.173031566E1,8.886395115E1
2.862525293E1,-8.247361583E1,8.896560962E1
2.912525293E1,-8.181184151E1,8.885857761E1
2.962525293E1,-8.147845970E1,8.873720792E1
3.012525293E1,-8.240198901E1,8.879903383E1
3.062525293E1,-8.284131888E1,8.882453665E1
3.112525293E1,-8.349521873E1,8.896554620E1
3.162525293E1,-8.217477933E1,8.884828012E1
3.212525293E1,-8.231910180E1,8.891793817E1
3.262525293E1,-8.234300086E1,8.893381273E1
3.312525293E1,-8.271013175E1,8.898444322E1
3.362525293E1,-8.148275825E1,8.879151414E1
3.412525293E1,-8.258691703E1,8.889597440E1
3.462525293E1,-8.293838850E1,8.888238945E1
3.512525293E1,-8.319804509E1,8.891500898E1
3.562525293E1,-8.284300823E1,8.890188347E1
3.612525293E1,-8.197161324E1,8.885504903E1
3.662525293E1,-8.145098853E1,8.882079457E1
3.712525293E1,-8.186076664E1,8.890187646E1
3.762525293E1,-8.203141769E1,8.893027957E1
3.812525293E1,-8.137040428E1,8.881130467E1
3.862525293E1,-8.168258225E1,8.876613642E1
3.912525293E1,-8.317195257E1,8.887151614E1
3.962525293E1,-8.358571066E1,8.885474399E1
4.012525293E1,-8.368113788E1,8.892143586E1
4.062525293E1,-8.256488210E1,8.885155090E1
4.112525293E1,-8.208116931E1,8.885308214E1
4.162525293E1,-8.234799548E1,8.891998714E1
4.212525293E1,-8.270115153E1,8.898790632E1
4.262525293E1,-8.235111967E1,8.890725073E1
4.312525293E1,-8.238136767E1,8.882549985E1
4.362525293E1,-8.374949866E1,8.890959683E1
4.412525293E1,-8.392119287E1,8.891444782E1
4.462525293E1,-8.304103446E1,8.888108547E1
4.512525293E1,-8.264513474E1,8.890790585E1
4.562525293E1,-8.259747663E1,8.894366828E1
4.612525293E1,-8.302578366E1,8.902731256E1
4.662525293E1,-8.250823015E1,8.894922995E1
4.712525293E1,-8.218794610E1,8.885459444E1
4.762525293E1,-8.348259570E1,8.894653148E1
4.812525293E1,-8.424052793E1,8.899643636E1
4.862525293E1,-8.403805364E1,8.898399043E1
4.912525293E1,-8.284584587E1,8.889265975E1
4.962525293E1,-8.284047506E1,8.894874540E1
5.012525293E1,-8.291930519E1,8.896730365E1
5.062525293E1,-8.266264193E1,8.893648364E1
5.112525293E1,-8.303390894E1,8.900869642E1
5.162525293E1,-8.392548275E1,8.912805472E1
5.212525293E1,-8.395830575E1,8.912391427E1
5.262525293E1,-8.284511172E1,8.901460500E1
