"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
1.252529280E-1,9.759728379E1,1.708938393E2
6.252529280E-1,9.717587528E1,1.690655764E2
1.125252928E0,9.673693553E1,1.671489931E2
1.625252928E0,9.693518960E1,1.674414470E2
2.125252928E0,9.654502332E1,1.640884307E2
2.625252928E0,9.670993823E1,1.657578061E2
3.125252928E0,9.666627112E1,1.658107417E2
3.625252928E0,9.687843830E1,1.675382898E2
4.125252928E0,9.682361531E1,1.680571116E2
4.625252928E0,9.686648927E1,1.682031212E2
5.125252928E0,9.751704921E1,1.687964298E2
5.625252928E0,9.743474167E1,1.653725804E2
6.125252928E0,9.687832773E1,1.625699841E2
6.625252928E0,9.672449929E1,1.635161312E2
7.125252928E0,9.673148461E1,1.639008366E2
7.625252928E0,9.664677022E1,1.637013647E2
8.125252928E0,9.656404792E1,1.642465228E2
8.625252928E0,9.648762822E1,1.632266546E2
9.125252928E0,9.690613607E1,1.658520704E2
9.625252928E0,9.753973821E1,1.673851063E2
1.012525293E1,9.756082302E1,1.674776099E2
1.062525293E1,9.754831967E1,1.673429291E2
1.112525293E1,9.719380131E1,1.671841639E2
1.162525293E1,9.696287727E1,1.669028036E2
1.212525293E1,9.682312468E1,1.678469437E2
1.262525293E1,9.691219693E1,1.671443201E2
1.312525293E1,9.740556952E1,1.687675735E2
1.362525293E1,9.781222365E1,1.694879828E2
1.412525293E1,9.761454273E1,1.694695263E2
1.462525293E1,9.729373670E1,1.681070738E2
1.512525293E1,9.700761066E1,1.668979536E2
1.562525293E1,9.697224728E1,1.680158376E2
1.612525293E1,9.697859440E1,1.691551891E2
1.662525293E1,9.729398172E1,1.683332204E2
1.712525293E1,9.815034634E1,1.701954898E2
1.762525293E1,9.891531594E1,1.720250449E2
1.812525293E1,9.858348560E1,1.721302573E2
1.862525293E1,9.804802020E1,1.718143650E2
1.912525293E1,9.760423931E1,1.703445476E2
1.962525293E1,9.750896588E1,1.702198126E2
2.062525293E1,9.761248445E1,1.699151241E2
2.112525293E1,9.839601105E1,1.698508482E2
2.162525293E1,9.925880597E1,1.718849636E2
2.162525293E1,9.925880597E1,1.718849636E2
2.212525293E1,9.976448742E1,1.734809188E2
2.262525293E1,9.888559274E1,1.733806672E2
2.312525293E1,9.813108329E1,1.721027948E2
2.362525293E1,9.766781397E1,1.718375676E2
2.412525293E1,9.758614798E1,1.721902124E2
2.462525293E1,9.777005021E1,1.718394030E2
2.512525293E1,9.824921415E1,1.718989848E2
2.562525293E1,9.932038468E1,1.739021862E2
2.612525293E1,9.929353210E1,1.735920388E2
2.662525293E1,9.879894059E1,1.733877715E2
2.762525293E1,9.783973624E1,1.711663504E2
2.812525293E1,9.776933387E1,1.717303157E2
2.862525293E1,9.778176074E1,1.724736158E2
2.912525293E1,9.788345650E1,1.718118415E2
2.962525293E1,9.836919327E1,1.714784597E2
3.012525293E1,9.893147145E1,1.724019890E2
3.062525293E1,9.927837225E1,1.728413189E2
3.112525293E1,9.899880897E1,1.734952187E2
3.162525293E1,9.832242373E1,1.721747793E2
3.212525293E1,9.797234789E1,1.723191018E2
3.262525293E1,9.788134004E1,1.723430009E2
3.312525293E1,9.788938822E1,1.727101317E2
3.362525293E1,9.801799947E1,1.714827582E2
3.412525293E1,9.842515138E1,1.725869170E2
3.462525293E1,9.894963348E1,1.729383885E2
3.512525293E1,9.902213893E1,1.731980451E2
3.562525293E1,9.867934235E1,1.728430082E2
3.612525293E1,9.806495611E1,1.719716132E2
3.662525293E1,9.779695973E1,1.714509885E2
3.712525293E1,9.763357495E1,1.718607666E2
3.762525293E1,9.759789512E1,1.720314177E2
3.812525293E1,9.778536821E1,1.713704043E2
3.862525293E1,9.838088131E1,1.716825822E2
3.912525293E1,9.934204994E1,1.731719526E2
3.962525293E1,1.000832073E2,1.735857107E2
4.012525293E1,9.964899839E1,1.736811379E2
4.062525293E1,9.873324436E1,1.725648821E2
4.112525293E1,9.819033905E1,1.720811693E2
4.162525293E1,9.798745926E1,1.723479955E2
4.212525293E1,9.785315923E1,1.727011515E2
4.262525293E1,9.808373539E1,1.723511197E2
4.312525293E1,9.871409980E1,1.723813677E2
4.362525293E1,9.985834637E1,1.737494987E2
4.412525293E1,1.000890826E2,1.739211929E2
4.462525293E1,9.909119367E1,1.730410345E2
4.512525293E1,9.840113277E1,1.726451347E2
4.562525293E1,9.807747934E1,1.725974766E2
4.612525293E1,9.790176720E1,1.730257837E2
4.662525293E1,9.793993641E1,1.725082301E2
4.712525293E1,9.829134764E1,1.721879461E2
4.762525293E1,9.914388072E1,1.734825957E2
4.812525293E1,9.985263682E1,1.742405279E2
4.862525293E1,9.963791255E1,1.740380536E2
4.912525293E1,9.875459214E1,1.728458459E2
4.962525293E1,9.831122850E1,1.728404751E2
5.012525293E1,9.825707815E1,1.729193052E2
5.062525293E1,9.820373515E1,1.726626419E2
5.112525293E1,9.806042254E1,1.730339089E2
5.162525293E1,9.813892728E1,1.739254827E2
5.212525293E1,9.822120708E1,1.739583057E2
5.262525293E1,9.780209418E1,1.728451117E2
